dataset,Dyna.-Pla,,Dyna.-S2 seg,,BEN-MM,PASTIS-MM,PASTIS-HD classif,,,,FLAIR,,,Dyna.-MM,OSCD,Dyna.-S2 CD,,LEVIR-CD,fMoW-S2,,BEN-S2,,,RESISC-45,,,,,,,RSD46,,,AID,,,,,PatternNet,,,FAIR1M,DIOR-R,DIOR,Potsdam,,,,,,,iSAID,UCMerced,,,,,,,,RSSCN7,Vaihingen,,,,DGLCC,,,DLRSD,,,LEVIR-OD,,,,LEVIR_CS Cloud,LEVIR_CS Snow,MLRSNet,BigEarthNet 19cls,fMoW-RGB single,,NAIP LC,GeoImageNet,So2Sat,fMoW temporal,,xView OD,SpaceNet BD,SpaceNet2 SR,,EuroSat,,,,,NaSC-TG2,,,Onera CD,Sen12MS,DOTA-V1.0,,,,DOTA-V2.0,LoveDA,HRCS2016,CDD,GID,NWPUVHR-10,UCAS-AOD,HRSC2016,CaiRoad,,CalFire,,DSFIN,WHU Aerial,Inria,SpaceNet2 Shanghai,SpaceNet2 Vegas,SpaceNet2 Paris,SpaceNet2 Khartoum,Canadian Cropland,DFC2020,DW-Expert,MARIDA,GeoNRW RGB,,GeoNRW RGB-DEM,,Sen1Floods11,HLSBurnScars Prithvi,SegMunich,SVCD/CDD,m-bigearthnet,,m-forestnet,m-brick-kiln,m-pv4ger,m-so2sat,m-cashew-plantation,m-SA-crop-type,TreeSatAI,,,,TreeSatAI-TS,,,,m-eurosat,Landslide4sense,,Sen4Map land cover,,,Sen4Map crop type,,
Swin-B IN,,,,,,,,,,,,,,,,,,"91,16",,,"89,5","85,7","79,5",,,,,,,,,,,,,,,,,,,"45,91",,"74,7",,,"91,18","91,66",,,,"66,4",,,99,,,,,,,,,"74,7",,,,,,,,,,,,,,,,,,,,,,,"16,3",,"21,665","61,2",,,,,,,,,"52,35",,,,,,,,,,,,,,,,,,"69,62","90,4",,,,,,,,,,,,,,"87,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVSA ViTAE-B,"34,3","44,4",,,,,,,,,,,,,,,,"90,86",,,,,,,"95,69","93,93",,,,,,,,"98,5","97,03",,,,,,,"47,04","71,05","73,22","86,61",,"92,68","92,62",,,,"64,49",,"99,7",,,,,,,,,"89,79","78,17","87,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,24",,,,,"52,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swin-T IN,,,,,,,,,,,,,,,,,,"90,25",,,,,,,"94,7","92,73",,,,,,,,"98,1","96,55",,,,,,,,,"71,9",,,"90,6","91,17",,,,"66,27",,"99,43",,,"99,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,07",,,,,,"89,7","94,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,58,"98,7",98,"56,1",,,,,,,,,,,"97,4",,,,,,,,
ConvNext-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,1",,"56,8","98,9",98,"58,1",,,,,,,,,,,"97,7",,,,,,,,
ViTAEv2-S IN,,,,,,,,,,,,,,,,,,"91,26",,,,,,,"95,29","93,9",,,,,,,,"98,08","96,61",,,,,,,,,,,,91,"91,6",,,,"65,3",,"99,43",,,"99,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,38",,,,,,"90,4","97,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP Resnet50,,,,,,,,,,,,,,,,,,"90,1",,,,,,,"95,02","93,93",,,,,,,,"97,89","96,81",,,,,,,,,,,,"89,96","90,61",,,,"61,6",,,,,"99,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,5",,,,,,"90,3",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP Swin-T,,,,,,,,,,,,,,,,,,"90,1",,,,,,,"94,51","93,02",,,,,,,,"98,3","96,83",,,,,,,,,,,,"90,03","90,78",,,,"64,1",,,,,"99,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,12",,,,,,90,"95,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSP ViTAEv2-S,,,,,,,,,,,,,,,,,,"90,93",,,,,,,"95,6","94,41",,,,,,,,"98,22","96,91",,,,,,,,,,,,"90,64","91,21",,,,"64,3",,,,,"99,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,72",,,,,,"90,4","96,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATTER,,,,,,,,,,,,,,,"59,37",,,,,,"87,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,12",,,,,,,,,,,"59,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSPT ViT-L,,,,,,,,,,,,,,,,,,,,,,,,,"95,62",,,,,,,,,,"96,3",,,,,,,,,"71,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
